,yearAdmitted,IGS,uuid,programAdmittedInt,genderInt,schoolTypeInt,schoolInt,yearAdmittedInt,courseInt,gradeInt,droppedCourse,passOrFailSelected,passedCourse,gradeYearInt,gradeSemesterInt,semOrder,eventInt,Q1A1,Q1A2,Q1A3,Q1A4,Q1A5,Q1A6,Q2A1,Q2A2,Q2A3,Q2A4,Q2A5,Q2A6
yearAdmitted,1,0.017795761263797,0.002771404654395,0.019819685598936,-0.004701085387162,0.004106017503751,-0.039503077154624,1,0.000199963033693,-0.063062515926228,-0.037926198405668,0.063146122503724,0.063146122503724,0.788939373102397,0.052334287689315,0.790447725163245,0.446494941446362,0.045256921280991,-0.022591077259081,-0.272442790437582,0.102568306361152,0.246807020161081,-0.352719006830066,0.017393087335539,-0.281911043576949,0.024835720204889,-0.198583270600317,0.259658157088165,-0.380723221386504
IGS,0.017795761263797,1,0.011990863800305,-0.206649622272806,0.079286420317001,0.060192803661419,0.017900506924815,0.017795761263807,-0.148730248915654,-0.15380217521104,-0.032668634099122,0.009074256058792,0.009074256058792,0.033365348732388,-0.008127046249043,0.032742234493628,0.009636228984987,-0.002774769981862,-0.001371369196147,-0.00646877150468,0.004364307202667,0.006707740359372,-0.008645964442383,0.000838539108751,-0.005752268185221,-0.001045327544588,-0.005350957028542,0.007187168471019,-0.008784326686701
uuid,0.002771404654395,0.011990863800305,1,-0.002711269865059,-0.01181961143728,0.001345267604997,0.011909629276403,0.002771404654395,-0.000919681592654,-0.006720863308639,-0.002018517964424,0.001602373129143,0.001602373129143,0.000999423296451,-0.000306740405824,0.000976553353717,0.004144393990626,0.000123142926844,0.000954934610985,-0.003102867338789,0.001382098520482,0.001540832826581,-0.002940770481165,-0.001144160919328,-0.003681834083414,0.000942596608997,-0.003023692662831,0.002075292770254,-0.003136243417398
programAdmittedInt,0.019819685598936,-0.206649622272806,-0.002711269865059,1,-0.040707068049972,0.000505042132578,0.005604029162684,0.019819685598935,0.122201254349463,0.019710469126868,-0.003399437672265,-0.017625148612159,-0.017625148612159,0.004586586789356,0.006063333701558,0.004977929388516,0.002182986037468,-0.000129986653172,0.002720426306819,0.001064417591486,0.004569901532643,-0.000821714106028,-0.003767927062031,0.001756843694036,-0.000738510063682,0.003422082437352,-0.000727007819122,-0.000958644874504,-0.003631106771689
genderInt,-0.004701085387162,0.079286420317001,-0.01181961143728,-0.040707068049972,1,0.023231201930096,-0.016078332094823,-0.004701085387158,-0.052327868251481,0.065377859095938,0.028333249423114,0.020349433046989,0.020349433046989,0.000605816799784,0.002548712830129,0.000773615456735,-0.002946095161756,0.001888656022871,0.000757692894416,0.001250303009648,-0.002660064236,-0.002468910430604,0.003634882977474,-0.001590308844812,0.000851080173227,0.000482372478659,0.001173896139727,-0.002374154252271,0.003512052040166
schoolTypeInt,0.004106017503751,0.060192803661419,0.001345267604997,0.000505042132578,0.023231201930096,1,0.473300877244249,0.004106017503755,-0.012404357841715,-0.024735573345981,-0.010630578796266,0.005200771670186,0.005200771670186,-0.007587379117445,-0.011714088344247,-0.008346612984741,0.000948959400319,-0.004402859398683,0.001138032418783,-0.001488220385845,0.003935941024623,0.000591036429253,-0.001833171822842,-0.000867719138162,-0.001534759893647,-1.90693900649233E-05,-0.003093695429918,0.001349294031645,-0.001249857729302
schoolInt,-0.039503077154624,0.017900506924815,0.011909629276403,0.005604029162684,-0.016078332094823,0.473300877244249,1,-0.039503077154629,-0.007947686532009,-0.008808733560517,-0.008422509990028,-0.000364661632758,-0.000364661632758,-0.032357629123716,-0.007940591574874,-0.032804395854521,-0.009798745889778,-0.002394844770586,0.00153452458209,0.001828426686118,-0.004104564808107,-0.005735971313422,0.010463270405986,-0.006038319833553,0.002218246971425,-0.001540644151563,9.21593937933709E-05,-0.004449213164255,0.011133176253372
yearAdmittedInt,1,0.017795761263807,0.002771404654395,0.019819685598935,-0.004701085387158,0.004106017503755,-0.039503077154629,1,0.000199963033696,-0.063062515926237,-0.037926198405667,0.063146122503731,0.063146122503731,0.788939373102397,0.052334287689303,0.790447725163245,0.446494941446268,0.045256921281015,-0.022591077259109,-0.272442790437558,0.102568306361151,0.24680702016108,-0.352719006830065,0.017393087335539,-0.281911043576929,0.024835720204853,-0.198583270600372,0.259658157088319,-0.380723221386504
courseInt,0.000199963033693,-0.148730248915654,-0.000919681592654,0.122201254349463,-0.052327868251481,-0.012404357841715,-0.007947686532009,0.000199963033696,1,-0.089349587625672,-0.03302599865995,-0.033760009489283,-0.033760009489283,0.026537674722669,0.073212165399838,0.031334926141645,0.001941289197214,0.008891996115216,0.016103840350563,0.018085731604157,0.019524642506538,-0.012819963443225,-0.013340851780325,0.014693089764825,0.006127783767278,0.022915318835657,0.008028530887323,-0.016177753459221,-0.013157283693493
gradeInt,-0.063062515926228,-0.15380217521104,-0.006720863308639,0.019710469126868,0.065377859095938,-0.024735573345981,-0.008808733560517,-0.063062515926237,-0.089349587625672,1,-0.327641502432416,-0.158255724388041,-0.158255724388041,-0.06181422124244,-0.027464106487626,-0.063484441146542,-0.112332410564392,-0.043588526471335,0.089830768138329,0.072068059175457,0.054013948889424,-0.115766460706199,0.072888007051522,-0.038150819603679,0.033834450450851,0.061421393133204,-0.00275528272219,-0.102605680755244,0.088115571166789
