,semOrder,totalGrades,totalDropped,totalFailed,totalGrad,admitted,eventInt,eventName,Q1A1,Q1A2,Q1A3,Q1A4,Q1A5,Q1A6,Q2A1,Q2A2,Q2A3,Q2A4,Q2A5,Q2A6,passOrFail
0.0,3,12379.0,0.06850311010582438,0.04273366184667582,0.0,2069.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1.0,4,11274.0,0.06129146709242505,0.0722015256342026,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
2.0,5,667.0,0.0944527736131934,0.09745127436281859,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
3.0,7,19923.0,0.07303117000451739,0.0633438739145711,0.0,1785.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
4.0,8,18841.0,0.057374873945119684,0.07573907966668436,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
5.0,9,1564.0,0.04411764705882353,0.11253196930946291,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
6.0,11,27112.0,0.0649896724697551,0.07155503098259074,0.0,1771.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
7.0,12,25468.0,0.05540285848908434,0.07503533846395477,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
8.0,13,2478.0,0.03712671509281679,0.12510088781275222,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
9.0,15,34617.0,0.05202646098737614,0.07470318051824248,0.0,1855.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
10.0,16,32444.0,0.05064110467266675,0.08528541486869683,101.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
11.0,17,3183.0,0.029217719132893498,0.10713163682060949,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
12.0,19,41899.0,0.04978639108331941,0.0745363851165899,58.0,2138.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
13.0,20,39462.0,0.047590086665653036,0.0790634027672191,442.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
14.0,21,3970.0,0.0327455919395466,0.1128463476070529,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
15.0,22,456.0,0.02412280701754386,0.03289473684210526,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
16.0,23,48918.0,0.04791692219632855,0.07815119179034302,173.0,2379.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
17.0,24,45662.0,0.04463229819105602,0.08720599185318208,775.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
