"Timestamp","How much were your study habits affected by the student strikes of 2017?","How much were your study habits affected by Hurricane Maria?","How much were your study habits affected by the frequent power outages between 2018-19?","How much were your study habits affected by the increased frequency of earthquakes since 2019?","How much were your study habits affected by the COVID-19 Pandemic?","How was the amount of academic work you received affected by the student strikes of 2017?","How was the amount of academic work you received affected by Hurricane Maria?","How was the amount of academic work you received affected by the frequent power outages between 2018-19?","How was the amount of academic work you received affected by the increased frequency of earthquakes since 2019?","How was the amount of academic work you received affected by the COVID-19 Pandemic?","How do you feel these or other events affected your academic performance?","What resources or aid relating to academic performance do you feel should have been provided to the students by the university?"
"2020/11/12 12:16:25 PM AST","Unable or difficult to find new routine, performance was affected","Studying felt like a fruitless endeavor, performance was affected significantly","Unable or difficult to find new routine, performance was affected","Unable or difficult to find new routine, performance is affected","Studying feels like a fruitless endeavor, performance is affected significantly","Academic work increased slightly, performance was affected","No change in amount of academic work","No change in amount of academic work","Academic work increased slightly, performance is affected","Academic work doubled (or more), keeping up performance is very hard","this time is very hard",""
"2020/11/12 12:23:51 PM AST","Minor changes to routine","Unable or difficult to find new routine, performance was affected","Unable or difficult to find new routine, performance was affected","Studying feels like a fruitless endeavor, performance is affected significantly","Studying feels like a fruitless endeavor, performance is affected significantly","Significantly less or no academic work","Academic work increased slightly, performance was affected","No change in amount of academic work","Academic work increased slightly, performance is affected","Academic work doubled (or more), keeping up performance is very hard","",""
"2020/11/12 12:37:30 PM AST","Unable or difficult to find new routine, performance was affected","Big changes to routine, did not affect performance","Studying felt like a fruitless endeavor, performance was affected significantly","Minor changes to routine","Unable or difficult to find new routine, performance is affected","Academic work increased slightly, performance was affected","No change in amount of academic work","No change in amount of academic work","No change in amount of academic work","Academic work doubled (or more), keeping up performance is very hard","These affected more","monitor the professors; many have triplicated the work"
"2020/11/12 12:41:16 PM AST","Unable or difficult to find new routine, performance was affected","Unable or difficult to find new routine, performance was affected","Unable or difficult to find new routine, performance was affected","Big changes to routine, did not affect performance","Studying feels like a fruitless endeavor, performance is affected significantly","No change in amount of academic work","Academic work doubled (or more), keeping up performance was very hard","No change in amount of academic work","No change in amount of academic work","Academic work doubled (or more), keeping up performance is very hard","On 2017 it was really difficult to finish a whole semester in like 3 months. I had pretty hard classes and even though I passed, it definitely wasn't my best performance. Now with the pandemic it has been reeeally difficult. Having technical difficulties every single day to do every single thing just sucks, stressed me out, tests my patience, wastes my time. I'm also working at the same time and it has been a terrible combination.","Some professors should have better organization and empathy. No me han preguntado ni una vez how am I doing, y yo sé que no son psicólogos pero si mi performance va en picada, there must be something wrong. También es mi deber comunicarme pero hay veces que los profesores ni inspiran confianza para hacerlo."
"2020/11/12 12:46:43 PM AST","Studying felt like a fruitless endeavor, performance was affected significantly","Unable or difficult to find new routine, performance was affected","Studying felt like a fruitless endeavor, performance was affected significantly","Studying feels like a fruitless endeavor, performance is affected significantly","Studying feels like a fruitless endeavor, performance is affected significantly","Academic work increased slightly, performance was affected","Academic work increased slightly, performance was affected","Academic work increased slightly, performance was affected","Academic work increased slightly, performance is affected","Academic work doubled (or more), keeping up performance is very hard","These events greatly affected my performance since naturally stress has become a determining factor in our daily lives now that we have to constantly be on the lookout for power outages, earthquakes, huricanes, maintaining ourselves healthy during the pandemic and the timenrestraints imposed by the curfew (and everything that that on its own affects).","Time/deadlines flexibility, workshops regarding emotional control"
"2020/11/12 12:47:43 PM AST","N/a, wasn’t affected","Big changes to routine, did not affect performance","Pretty much identical study habits","Big changes to routine, did not affect performance","Big changes to routine, did not affect performance","N/a, wasn’t affected","Academic work increased slightly, performance was affected","No change in amount of academic work","No change in amount of academic work","Academic work increased slightly, performance is affected","I feel like I have done an ok job at getting used to changes and have been performing at a good level but having so many changes in so little time does affect my enthusiasm and mental health.","I have been lucky enough to have all the materials I have needed to have online classes and I have seen that the university made available places to go connect to the internet. It doesn't mean that there aren't connection problems or the electricity doesn't go out at the university every once in a while but those situations are out of the university's hands."
"2020/11/12 12:51:09 PM AST","Unable or difficult to find new routine, performance was affected","Unable or difficult to find new routine, performance was affected","Unable or difficult to find new routine, performance was affected","Unable or difficult to find new routine, performance is affected","Unable or difficult to find new routine, performance is affected","No change in amount of academic work","No change in amount of academic work","Academic work increased slightly, performance was affected","Academic work increased slightly, performance is affected","Academic work increased slightly, performance is affected","Difficulty concentrating, everything took up more time because of this ",""
"2020/11/12 12:51:12 PM AST","N/a, wasn’t affected","Studying felt like a fruitless endeavor, performance was affected significantly","Unable or difficult to find new routine, performance was affected","Unable or difficult to find new routine, performance is affected","Studying feels like a fruitless endeavor, performance is affected significantly","N/a, wasn’t affected","Academic work doubled (or more), keeping up performance was very hard","Academic work increased slightly, performance was affected","Academic work increased slightly, performance is affected","Academic work doubled (or more), keeping up performance is very hard","The energies for for my academic perfomance went down, because the academic well being wasn't a first priority  ","Economical aid, academic spaces and mental check ups of there alumni "
"2020/11/12 12:58:49 PM AST","Studying felt like a fruitless endeavor, performance was affected significantly","Studying felt like a fruitless endeavor, performance was affected significantly","Studying felt like a fruitless endeavor, performance was affected significantly","Studying feels like a fruitless endeavor, performance is affected significantly","Studying feels like a fruitless endeavor, performance is affected significantly","Less academic work than before","No change in amount of academic work","Significantly less or no academic work","Significantly less or no academic work","Significantly less or no academic work","bad","money"
"2020/11/12 1:00:52 PM AST","Big changes to routine, did not affect performance","Studying felt like a fruitless endeavor, performance was affected significantly","Unable or difficult to find new routine, performance was affected","Big changes to routine, did not affect performance","Studying feels like a fruitless endeavor, performance is affected significantly","Academic work increased slightly, performance was affected","Academic work doubled (or more), keeping up performance was very hard","Academic work increased slightly, performance was affected","No change in amount of academic work","Academic work doubled (or more), keeping up performance is very hard","The lack of empathy of the professors and the huge amount of work is the worst part of this process. They try to secure the academic honestly doing difficult exams with zero flexibility and short time. The amount of stress that the zero flexibility generates on me is unmeasurable. I feel like I'm not going to pass my classes doesn't matter how hard I study. Is unfair for us. I know that there are a selected amount of professors that understand, but the reality is that more than the 50% of the professors have lack of empathy and the department/university doesn't make anything. Our wellbeing and health is in hands of them and they just worry about the academic honestly. Thanks.","Flexibility in the examinations. A balance between the flexibility and the academic honestly can be done. Preparation for the professors to have empathy, maybe psicological examinations and empathy workshops and how to ensure the academic honestly without affecting the mental and academic behavior of the students. Maybe aviable rooms for psicological help. We want our voice to be heared. Not ignored. "
